Collection_Name,Manufacturer_Collection_Name,S.No.,Item No.,Article,DESCRIPTION,Rolls,Rate,Amount,WEIGHT GRS/SMT,EAN CODE,GROSS WEIGHT KG/RX,NET WEIGHT KG./RX,BOX WEIGHT KG,DESIGN REPEAT cm,WIDTH m,LENGHT m,QUANTITY PER BOX,VOL/BOX mc,BOX TOT.WEIGHT kg,RESISTANCE TO LIGHT,WASHABILITY,REACTION TO FIRE,CERTIFICATIONS,EMISSIONS DANS L'AIR INTERIEUR,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Aura,Aura,47022.0,42201.0,42201,AURA PVC/TNT,,29.0,0.0,420 gr,8022560422018.0,4.704,4.474,0.86,64 straight,1.06,10.05,4.0,0.04,18.816,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Straight,,
Aura,Aura,47001.0,42202.0,42202,AURA PVC/TNT,,29.0,0.0,420 gr,8022560422025.0,4.704,4.474,0.86,64 straight,1.06,10.05,4.0,0.04,18.816,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Straight,,
Aura,Aura,47026.0,42203.0,42203,AURA PVC/TNT,,29.0,0.0,420 gr,8022560422032.0,4.704,4.474,0.86,64 straight,1.06,10.05,4.0,0.04,18.816,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Straight,,
Aura,Aura,47011.0,42204.0,42204,AURA PVC/TNT,,29.0,0.0,420 gr,8022560422049.0,4.704,4.474,0.86,64 straight,1.06,10.05,4.0,0.04,18.816,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Straight,,
Aura,Aura,47039.0,42205.0,42205,AURA PVC/TNT,,29.0,0.0,420 gr,8022560422056.0,4.704,4.474,0.86,64 straight,1.06,10.05,4.0,0.04,18.816,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Straight,,
Aura,Aura,47027.0,42206.0,42206,AURA PVC/TNT,,29.0,0.0,420 gr,8022560422063.0,4.704,4.474,0.86,64 straight,1.06,10.05,4.0,0.04,18.816,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Straight,,
Aura,Aura,47027.0,42206.0,42206,AURA PVC/TNT,,29.0,0.0,420 gr,8022560422063.0,4.704,4.474,0.86,64 straight,1.06,10.05,4.0,0.04,18.816,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Straight,,
Aura,Aura,47036.0,42207.0,42207,AURA PVC/TNT,,29.0,0.0,420 gr,8022560422070.0,4.704,4.474,0.86,64 straight,1.06,10.05,4.0,0.04,18.816,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Straight,,
Aura,Aura,47018.0,42209.0,42209,AURA PVC/TNT,,29.0,0.0,420 gr,8022560422094.0,4.704,4.474,0.86,64 straight,1.06,10.05,4.0,0.04,18.816,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Straight,,
Aura,Aura,47024.0,42210.0,42210,AURA PVC/TNT,,29.0,0.0,420 gr,8022560422100.0,4.704,4.474,0.86,64 offset,1.06,10.05,4.0,0.04,18.816,GOOD,WASHABLE AND SCRUBBABLE,"D-s3,d2",CE,A+,64.0,Offset,,
