Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Aura,47022,42201,42201,64 straight,1.06,10.05,64,Straight,,
Aura,47001,42202,42202,64 straight,1.06,10.05,64,Straight,,
Aura,47026,42203,42203,64 straight,1.06,10.05,64,Straight,,
Aura,47011,42204,42204,64 straight,1.06,10.05,64,Straight,,
Aura,47039,42205,42205,64 straight,1.06,10.05,64,Straight,,
Aura,47027,42206,42206,64 straight,1.06,10.05,64,Straight,,
Aura,47027,42206,42206,64 straight,1.06,10.05,64,Straight,,
Aura,47036,42207,42207,64 straight,1.06,10.05,64,Straight,,
Aura,47018,42209,42209,64 straight,1.06,10.05,64,Straight,,
Aura,47024,42210,42210,64 offset,1.06,10.05,64,Offset,,
Aura,47003,42211,42211,64 offset,1.06,10.05,64,Offset,,
Aura,47021,42212,42212,64 offset,1.06,10.05,64,Offset,,
Aura,47007,42213,42213,64 offset,1.06,10.05,64,Offset,,
Aura,47013,42214,42214,64 offset,1.06,10.05,64,Offset,,
Aura,47013,42214,42214,64 offset,1.06,10.05,64,Offset,,
Aura,47033,42215,42215,64 offset,1.06,10.05,64,Offset,,
Aura,47030,42216,42216,64 offset,1.06,10.05,64,Offset,,
Aura,47034,42217,42217,64 offset,1.06,10.05,64,Offset,,
Aura,47020,42219,42219,64 offset,1.06,10.05,64,Offset,,
Aura,47025,42220,42220,64 offset,1.06,10.05,64,Offset,,
Aura,47008,42223,42223,64 offset,1.06,10.05,64,Offset,,
Aura,47008,42223,42223,64 offset,1.06,10.05,64,Offset,,
Aura,47010,42224,42224,64 offset,1.06,10.05,64,Offset,,
Aura,47029,42226,42226,64 offset,1.06,10.05,64,Offset,,
Aura,47015,42228,42228,64 offset,1.06,10.05,64,Offset,,
Aura,47015,42228,42228,64 offset,1.06,10.05,64,Offset,,
Aura,47017,42229,42229,64 offset,1.06,10.05,64,Offset,,
Aura,47028,42231,42231,64 offset,1.06,10.05,64,Offset,,
Aura,47009,42233,42233,64 offset,1.06,10.05,64,Offset,,
Aura,47016,42234,42234,64 offset,1.06,10.05,64,Offset,,
Aura,47012,42244,42244,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47038,42245,42245,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47037,42247,42247,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47019,42249,42249,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47023,42260,42260,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47002,42261,42261,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47002,42261,42261,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47004,42262,42262,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47004,42262,42262,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47004,42262,42262,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47005,42263,42263,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47005,42263,42263,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47014,42264,42264,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47035,42265,42265,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47031,42266,42266,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47006,42272,42272,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47006,42272,42272,zero/53 straight,1.06,10.05,0,,53,Straight
Aura,47032,42275,42275,zero/53 straight,1.06,10.05,0,,53,Straight
