Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type,imagePath,pixelWidth,pixelHeight,scale
Cristiana Masi,CasaMood,27001,27001,27001,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27001.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27002,27002,27002,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27002.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27003,27003,27003,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27003.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27004,27004,27004,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27004.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27005,27005,27005,53 straight,0.53,10.05,53,Straight,,,/local-textures/CasaMood/27005.jpg,5300,5300,0.53
Cristiana Masi,CasaMood,27006,27006,27006,53 straight,0.53,10.05,53,Straight,,,/local-textures/CasaMood/27006.jpg,5300,5300,0.53
Cristiana Masi,CasaMood,27007,27007,27007,53 straight,0.53,10.05,53,Straight,,,/local-textures/CasaMood/27007.jpg,5300,5300,0.53
Cristiana Masi,CasaMood,27008,27008,27008,53 straight,0.53,10.05,53,Straight,,,/local-textures/CasaMood/27008.jpg,5300,5300,0.53
Cristiana Masi,CasaMood,27010,27010,27010,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27010.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27011,27011,27011,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27011.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27012,27012,27012,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27012.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27014,27014,27014,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27014.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27015,27015,27015,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27015.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27016,27016,27016,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27016.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27017,27017,27017,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27017.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27018,27018,27018,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27018.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27019,27019,27019,53 offset,0.53,10.05,53,Offset,53,Offset,/local-textures/CasaMood/27019.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27021,27021,27021,54 straight,0.53,10.05,54,Straight,,,/local-textures/CasaMood/27021.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27022,27022,27022,54 straight,0.53,10.05,54,Straight,,,/local-textures/CasaMood/27022.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27023,27023,27023,54 straight,0.53,10.05,54,Straight,,,/local-textures/CasaMood/27023.jpg,6260,6260,0.53
Cristiana Masi,CasaMood,27025,27025,27025,53 straight,0.53,10.05,53,Straight,,,,,,
Cristiana Masi,CasaMood,27027,27027,27027,53 straight,0.53,10.05,53,Straight,,,,,,
Cristiana Masi,CasaMood,27031,27031,27031,"26,5 straight",0.53,10.05,"26,5",Straight,,,/local-textures/CasaMood/27031.jpg,6260,6260,0.53
