Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Cristiana Masi,CVLTO,4801,21127,21127,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4802,21108,21108,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4803,21184,21184,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4804,21179,21179,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4805,21133,21133,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4806,21173,21173,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4807,21172,21172,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4808,21152,21152,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4809,21101,21101,64 offset,0.53,10.05,64,Offset,64,Offset
Cristiana Masi,CVLTO,4810,21189,21189,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4811,21150,21150,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4812,21112,21112,26.5 straight,0.53,10.05,26.5,Straight,26.5,Straight
Cristiana Masi,CVLTO,4813,21161,21161,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4814,21128,21128,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4815,21178,21178,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4816,21134,21134,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4817,21174,21174,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4818,21114,21114,26.5 straight,0.53,10.05,26.5,Straight,26.5,Straight
Cristiana Masi,CVLTO,4819,21164,21164,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4820,21130,21130,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4821,21170,21170,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4822,21125,21125,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4823,21165,21165,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4824,21185,21185,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4825,21166,21166,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4826,21105,21105,64 offset,0.53,10.05,64,Offset,64,Offset
Cristiana Masi,CVLTO,4827,21181,21181,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4828,21115,21115,26.5 straight,0.53,10.05,26.5,Straight,26.5,Straight
Cristiana Masi,CVLTO,4829,21155,21155,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4830,21107,21107,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4831,21106,21106,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4832,21162,21162,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4833,21111,21111,26.5 straight,0.53,10.05,26.5,Straight,26.5,Straight
Cristiana Masi,CVLTO,4834,21182,21182,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4835,21126,21126,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4836,21116,21116,17.7 straight,0.53,10.05,17.7,Straight,17.7,Straight
Cristiana Masi,CVLTO,4837,21151,21151,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4838,21117,21117,17.7 straight,0.53,10.05,17.7,Straight,17.7,Straight
Cristiana Masi,CVLTO,4839,21100,21100,64 offset,0.53,10.05,64,offset,64,offset
Cristiana Masi,CVLTO,4840,21156,21156,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4841,21113,21113,26.5 straight,0.53,10.05,26.5,Straight,26.5,Straight
Cristiana Masi,CVLTO,4842,21157,21157,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4843,21163,21163,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4844,21132,21132,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4845,21176,21176,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4846,21171,21171,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4847,21186,21186,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4848,21103,21103,64 offset,0.53,10.05,64,Offset,64,Offset
Cristiana Masi,CVLTO,4849,21187,21187,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4850,21129,21129,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CVLTO,4851,21188,21188,53 straight,0.53,10.05,53,Straight,53,Straight
Cristiana Masi,CVLTO,4852,21119,21119,17.7 straight,0.53,10.05,17.7,Straight,17.7,Straight
