Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Cristiana Masi,CasaMood,27001,27001,27001,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27002,27002,27002,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27003,27003,27003,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27004,27004,27004,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27005,27005,27005,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,CasaMood,27006,27006,27006,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,CasaMood,27007,27007,27007,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,CasaMood,27008,27008,27008,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,CasaMood,27010,27010,27010,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27011,27011,27011,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27012,27012,27012,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27014,27014,27014,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27015,27015,27015,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27016,27016,27016,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27017,27017,27017,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27018,27018,27018,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27019,27019,27019,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,CasaMood,27021,27021,27021,54 straight,0.53,10.05,54,Straight,,
Cristiana Masi,CasaMood,27022,27022,27022,54 straight,0.53,10.05,54,Straight,,
Cristiana Masi,CasaMood,27023,27023,27023,54 straight,0.53,10.05,54,Straight,,
Cristiana Masi,CasaMood,27025,27025,27025,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,CasaMood,27027,27027,27027,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,CasaMood,27031,27031,27031,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,CasaMood,27032,27032,27032,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,CasaMood,27033,27033,27033,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,CasaMood,27034,27034,27034,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,CasaMood,27036,27036,27036,"8,8 straight",0.53,10.05,"8,8",Straight,,
Cristiana Masi,CasaMood,27037,27037,27037,"8,8 straight",0.53,10.05,"8,8",Straight,,
Cristiana Masi,CasaMood,27038,27038,27038,"8,8 straight",0.53,10.05,"8,8",Straight,,
Cristiana Masi,CasaMood,27039,27039,27039,"8,8 straight",0.53,10.05,"8,8",Straight,,
Cristiana Masi,CasaMood,27041,27041,27041,"4,4 straight",0.53,10.05,"4,4",Straight,,
Cristiana Masi,CasaMood,27042,27042,27042,"4,4 straight",0.53,10.05,"4,4",Straight,,
Cristiana Masi,CasaMood,27043,27043,27043,"4,4 straight",0.53,10.05,"4,4",Straight,,
Cristiana Masi,CasaMood,27044,27044,27044,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,CasaMood,27045,27045,27045,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,CasaMood,27046,27046,27046,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,CasaMood,27048,27048,27048,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,CasaMood,27049,27049,27049,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,CasaMood,27051,27051,27051,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27052,27052,27052,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27053,27053,27053,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27054,27054,27054,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27055,27055,27055,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27056,27056,27056,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27061,27061,27061,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,CasaMood,27062,27062,27062,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,CasaMood,27063,27063,27063,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,CasaMood,27065,27065,27065,"2,7 straight",0.53,10.05,"2,7",Straight,,
Cristiana Masi,CasaMood,27066,27066,27066,"2,7 straight",0.53,10.05,"2,7",Straight,,
Cristiana Masi,CasaMood,27067,27067,27067,"2,7 straight",0.53,10.05,"2,7",Straight,,
Cristiana Masi,CasaMood,27071,27071,27071,54 straight,0.53,10.05,54,Straight,,
Cristiana Masi,CasaMood,27072,27072,27072,54 straight,0.53,10.05,54,Straight,,
Cristiana Masi,CasaMood,27074,27074,27074,53 straight/zero,0.53,10.05,53,Straight/zero,,
Cristiana Masi,CasaMood,27075,27075,27075,53 straight/zero,0.53,10.05,53,Straight/zero,,
Cristiana Masi,CasaMood,27080,27080,27080,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27081,27081,27081,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27083,27083,27083,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27084,27084,27084,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27085,27085,27085,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27086,27086,27086,zero,0.53,10.05,zero,,,
Cristiana Masi,CasaMood,27087,27087,27087,zero,0.53,10.05,zero,,,
