Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Cristiana Masi,Flora,4706A,18501,18501,64 offset,0.53,10.05,64,Offset,64,Offset
Cristiana Masi,Flora,4713A,18502,18502,64 offset,0.53,10.05,64,Offset,64,Offset
Cristiana Masi,Flora,4717A,18503,18503,64 offset,0.53,10.05,64,Offset,64,Offset
Cristiana Masi,Flora,4701A,18504,18504,64 offset,0.53,10.05,64,Offset,64,Offset
Cristiana Masi,Flora,4709A,18506,18506,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4712A,18507,18507,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4702A,18508,18508,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4719A,18509,18509,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4707B,18510,18510,"1,9 straight",0.53,10.05,"1,9",Straight,,
Cristiana Masi,Flora,4704B,18511,18511,"1,9 straight",0.53,10.05,"1,9",Straight,,
Cristiana Masi,Flora,4716A,18513,18513,"7,7 straight",0.53,10.05,"7,7",Straight,,
Cristiana Masi,Flora,4705A,18514,18514,"7,7 straight",0.53,10.05,"7,7",Straight,,
Cristiana Masi,Flora,4714A,18515,18515,"7,7 straight",0.53,10.05,"7,7",Straight,,
Cristiana Masi,Flora,4732A,18516,18516,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4740A,18517,18517,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4720A,18518,18518,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4725A,18519,18519,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4727A,18521,18521,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4736A,18522,18522,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4723A,18523,18523,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4733A,18524,18524,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4722A,18526,18526,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,Flora,4730A,18527,18527,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,Flora,4742A,18528,18528,"26,5 straight",0.53,10.05,"26,5",Straight,,
Cristiana Masi,Flora,4737B,18531,18531,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,Flora,4731B,18532,18532,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,Flora,4726B,18533,18533,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,Flora,4739B,18535,18535,"17,7 straight",0.53,10.05,"17,7",Straight,,
Cristiana Masi,Flora,4729B,18536,18536,"17,7 straight",0.53,10.05,"17,7",Straight,,
Cristiana Masi,Flora,4724B,18537,18537,"17,7 straight",0.53,10.05,"17,7",Straight,,
Cristiana Masi,Flora,4735B,18538,18538,"17,7 straight",0.53,10.05,"17,7",Straight,,
Cristiana Masi,Flora,4746A,18541,18541,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,Flora,4748A,18542,18542,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,Flora,4743A,18543,18543,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,Flora,4749A,18544,18544,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,Flora,4745A,18546,18546,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4744A,18547,18547,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4751A,18548,18548,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4747A,18549,18549,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4755A,18552,18552,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4758A,18553,18553,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4752A,18554,18554,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4757A,18556,18556,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4756A,18557,18557,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4754A,18558,18558,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4710B,18562,18562,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4759B,18563,18563,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4753B,18564,18564,53 straight,0.53,10.05,53,Straight,,
Cristiana Masi,Flora,4728B,18570,18570,zero,0.53,10.05,zero,,,
Cristiana Masi,Flora,4721B,18572,18572,zero,0.53,10.05,zero,,,
Cristiana Masi,Flora,4711B,18573,18573,zero,0.53,10.05,zero,,,
Cristiana Masi,Flora,4741B,18575,18575,zero,0.53,10.05,zero,,,
