Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Cristiana Masi,Friends & Coffee 2,4601,16601,16601,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4619,16602,16602,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4627,16603,16603,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4610,16605,16605,zero/53 offset,0.53,10.1,zero/53,Offset,zero/53,Offset
Cristiana Masi,Friends & Coffee 2,4607,16606,16606,zero/53 offset,0.53,10.1,zero/53,Offset,zero/53,Offset
Cristiana Masi,Friends & Coffee 2,4604,16607,16607,zero/53 offset,0.53,10.1,zero/53,Offset,zero/53,Offset
Cristiana Masi,Friends & Coffee 2,4621,16608,16608,zero/53 offset,0.53,10.1,zero/53,Offset,zero/53,Offset
Cristiana Masi,Friends & Coffee 2,4612,16609,16609,64 straight,0.53,10.1,64,Straight,,
Cristiana Masi,Friends & Coffee 2,4615,16610,16610,64 straight,0.53,10.1,64,Straight,,
Cristiana Masi,Friends & Coffee 2,4629,16611,16611,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4632,16612,16612,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4630,16613,16613,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4628,16615,16615,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4631,16616,16616,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4643,16617,16617,53 paro,0.53,10.1,53,Paro,,
Cristiana Masi,Friends & Coffee 2,4641,16618,16618,53 paro,0.53,10.1,53,Paro,,
Cristiana Masi,Friends & Coffee 2,4634,16619,16619,53 paro,0.53,10.1,53,Paro,,
Cristiana Masi,Friends & Coffee 2,4640,16621,16621,53 paro,0.53,10.1,53,Paro,,
Cristiana Masi,Friends & Coffee 2,4637,16622,16622,53 paro,0.53,10.1,53,Paro,,
Cristiana Masi,Friends & Coffee 2,4635,16623,16623,53 paro,0.53,10.1,53,Paro,,
Cristiana Masi,Friends & Coffee 2,4649,16625,16625,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4647,16626,16626,53 offset,0.53,10.1,53,Offset,53,Offset
Cristiana Masi,Friends & Coffee 2,4654,16628,16628,"26,5 straight",0.53,10.1,"26,5",Straight,,
Cristiana Masi,Friends & Coffee 2,4644,16629,16629,"26,5 straight",0.53,10.1,"26,5",Straight,,
Cristiana Masi,Friends & Coffee 2,4658,16631,16631,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4667,16632,16632,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4662,16633,16633,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4655,16635,16635,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4669,16636,16636,53 straight,0.53,10.1,53,Straight,,
Cristiana Masi,Friends & Coffee 2,4663,16637,16637,53 straight,0.53,10.1,53,Straight,,
