Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Cristiana Masi,MondoBaby,13001,13001,13001,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,MondoBaby,13002,13002,13002,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,MondoBaby,13003,13003,13003,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,MondoBaby,13004,13004,13004,"17,7 offset",0.53,10.05,"17,7",Offset,"17,7",Offset
Cristiana Masi,MondoBaby,13005,13005,13005,"17,7 offset",0.53,10.05,"17,7",Offset,"17,7",Offset
Cristiana Masi,MondoBaby,13006,13006,13006,"17,7 offset",0.53,10.05,"17,7",Offset,"17,7",Offset
Cristiana Masi,MondoBaby,13007,13007,13007,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,MondoBaby,13008,13008,13008,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,MondoBaby,13009,13009,13009,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,MondoBaby,13010,13010,13010,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,MondoBaby,13011,13011,13011,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,MondoBaby,13012,13012,13012,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,MondoBaby,13013,13013,13013,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,MondoBaby,13014,13014,13014,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,MondoBaby,13015,13015,13015,"13,3 straight",0.53,10.05,"13,3",Straight,,
Cristiana Masi,MondoBaby,13016,13016,13016,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,MondoBaby,13017,13017,13017,53 offset,0.53,10.05,53,Offset,53,Offset
Cristiana Masi,MondoBaby,13018,13018,13018,53 offset,0.53,10.05,53,Offset,53,Offset
