Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type
Cristiana Masi,Thema,4901,28843,28843,,0.53,10.05,,,,
Cristiana Masi,Thema,4902,28864,28864,,0.53,10.05,,,,
Cristiana Masi,Thema,4903,28803,28803,,0.53,10.05,,,,
Cristiana Masi,Thema,4904,28881,28881,,0.53,10.05,,,,
Cristiana Masi,Thema,4905,28833,28833,,0.53,10.05,,,,
Cristiana Masi,Thema,4906,28894,28894,,0.53,10.05,,,,
Cristiana Masi,Thema,4907,28873,28873,,0.53,10.05,,,,
Cristiana Masi,Thema,4908,28801,28801,,0.53,10.05,,,,
Cristiana Masi,Thema,4909,28880,28880,,0.53,10.05,,,,
Cristiana Masi,Thema,4910,28866,28866,,0.53,10.05,,,,
Cristiana Masi,Thema,4911,28813,28813,,0.53,10.05,,,,
Cristiana Masi,Thema,4912,28882,28882,,0.53,10.05,,,,
Cristiana Masi,Thema,4913,28812,28812,,0.53,10.05,,,,
Cristiana Masi,Thema,4914,28879,28879,,0.53,10.05,,,,
Cristiana Masi,Thema,4915,28849,28849,,0.53,10.05,,,,
Cristiana Masi,Thema,4916,28869,28869,,0.53,10.05,,,,
Cristiana Masi,Thema,4917,28809,28809,,0.53,10.05,,,,
Cristiana Masi,Thema,4918,28886,28886,,0.53,10.05,,,,
Cristiana Masi,Thema,4919,28856,28856,,0.53,10.05,,,,
Cristiana Masi,Thema,4920,28896,28896,,0.53,10.05,,,,
Cristiana Masi,Thema,4921,28836,28836,,0.53,10.05,,,,
Cristiana Masi,Thema,4922,28893,28893,,0.53,10.05,,,,
Cristiana Masi,Thema,4923,28841,28841,,0.53,10.05,,,,
Cristiana Masi,Thema,4924,28891,28891,,0.53,10.05,,,,
Cristiana Masi,Thema,4925,28831,28831,,0.53,10.05,,,,
Cristiana Masi,Thema,4926,28883,28883,,0.53,10.05,,,,
Cristiana Masi,Thema,4927,28854,28854,,0.53,10.05,,,,
Cristiana Masi,Thema,4928,28890,28890,,0.53,10.05,,,,
Cristiana Masi,Thema,4929,28817,28817,,0.53,10.05,,,,
Cristiana Masi,Thema,4930,28867,28867,,0.53,10.05,,,,
Cristiana Masi,Thema,4931,28802,28802,,0.53,10.05,,,,
Cristiana Masi,Thema,4932,28871,28871,,0.53,10.05,,,,
Cristiana Masi,Thema,4933,28862,28862,,0.53,10.05,,,,
Cristiana Masi,Thema,4934,28847,28847,,0.53,10.05,,,,
Cristiana Masi,Thema,4935,28810,28810,,0.53,10.05,,,,
Cristiana Masi,Thema,4936,28811,28811,,0.53,10.05,,,,
Cristiana Masi,Thema,4937,28832,28832,,0.53,10.05,,,,
Cristiana Masi,Thema,4938,28884,28884,,0.53,10.05,,,,
Cristiana Masi,Thema,4939,28818,28818,,0.53,10.05,,,,
Cristiana Masi,Thema,4940,28888,28888,,0.53,10.05,,,,
Cristiana Masi,Thema,4941,28878,28878,,0.53,10.05,,,,
Cristiana Masi,Thema,4942,28848,28848,,0.53,10.05,,,,
Cristiana Masi,Thema,4943,28815,28815,,0.53,10.05,,,,
Cristiana Masi,Thema,4944,28855,28855,,0.53,10.05,,,,
Cristiana Masi,Thema,4945,28845,28845,,0.53,10.05,,,,
Cristiana Masi,Thema,4946,28897,28897,,0.53,10.05,,,,
Cristiana Masi,Thema,4947,28892,28892,,0.53,10.05,,,,
Cristiana Masi,Thema,4948,28805,28805,,0.53,10.05,,,,
Cristiana Masi,Thema,4949,28835,28835,,0.53,10.05,,,,
Cristiana Masi,Thema,4950,28885,28885,,0.53,10.05,,,,
