Brand,Collection_Name,S.No.,Item No.,Article,DESIGN REPEAT cm,WIDTH m,LENGHT m,Repeat_1_Value,Repeat_1_Type,Repeat_2_Value,Repeat_2_Type,imagePath,pixelWidth,pixelHeight,scale
Cristiana Masi,Aura,47022,42201,42201,64 straight,1.06,10.05,64,Straight,,,/local-textures/Aura/42201.jpg,1772,1070,0.64
Cristiana Masi,Aura,47001,42202,42202,64 straight,1.06,10.05,64,Straight,,,/local-textures/Aura/42202.jpg,1772,1070,0.64
Cristiana Masi,Aura,47026,42203,42203,64 straight,1.06,10.05,64,Straight,,,/local-textures/Aura/42203.jpg,1772,1070,0.64
Cristiana Masi,Aura,47011,42204,42204,64 straight,1.06,10.05,64,Straight,,,/local-textures/Aura/42204.jpg,1772,1070,0.64
Cristiana Masi,Aura,47039,42205,42205,64 straight,1.06,10.05,64,Straight,,,/local-textures/Aura/42205.jpg,1772,1070,0.64
Cristiana Masi,Aura,47027,42206,42206,64 straight,1.06,10.05,64,Straight,,,/local-textures/Aura/42206.jpg,1772,1070,0.64
Cristiana Masi,Aura,47027,42206,42206,64 straight,1.06,10.05,64,Straight,,,/local-textures/Aura/42206.jpg,1772,1070,0.64
Cristiana Masi,Aura,47036,42207,42207,64 straight,1.06,10.05,64,Straight,,,/local-textures/Aura/42207.jpg,1772,1070,0.64
Cristiana Masi,Aura,47018,42209,42209,64 straight,1.06,10.05,64,Straight,,,/local-textures/Aura/42209.jpg,1772,1070,0.64
Cristiana Masi,Aura,47024,42210,42210,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42210.jpg,1772,1070,0.64
Cristiana Masi,Aura,47003,42211,42211,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42211.jpg,1772,1070,0.64
Cristiana Masi,Aura,47021,42212,42212,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42212.jpg,1772,1070,0.64
Cristiana Masi,Aura,47007,42213,42213,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42213.jpg,1772,1070,0.64
Cristiana Masi,Aura,47013,42214,42214,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42214.jpg,1772,1070,0.64
Cristiana Masi,Aura,47013,42214,42214,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42214.jpg,1772,1070,0.64
Cristiana Masi,Aura,47033,42215,42215,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42215.jpg,1772,1070,0.64
Cristiana Masi,Aura,47030,42216,42216,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42216.jpg,1772,1070,0.64
Cristiana Masi,Aura,47034,42217,42217,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42217.jpg,1772,1070,0.64
Cristiana Masi,Aura,47020,42219,42219,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42219.jpg,1772,1070,0.64
Cristiana Masi,Aura,47025,42220,42220,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42220.jpg,1772,1070,0.64
Cristiana Masi,Aura,47008,42223,42223,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42223.jpg,1772,1070,0.64
Cristiana Masi,Aura,47008,42223,42223,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42223.jpg,1772,1070,0.64
Cristiana Masi,Aura,47010,42224,42224,64 offset,1.06,10.05,64,Offset,,,/local-textures/Aura/42224.jpg,1772,1070,0.64
